start_station_name,start_station_id,avg_lat,avg_lng,total_trips,member_trips,casual_trips,peak_departures,peak_net_outflow,peak_outflow_rate,total_rebalancing_needed,rebalancing_cost
Mercer St & Bleecker St,5679.05,40.72706363348306,-73.99662137031554,29497,25557,3940,3103.0,-1283.0,-0.4134708346761199,6130.0,12873.0
Lexington Ave & E 24 St,6089.07,40.74025878,-73.98409214,29442,25669,3773,4550.0,-526.0,-0.1156043956043956,6077.0,12761.7
W 59 St & 10 Ave,7023.04,40.770513,-73.988038,29433,26355,3078,6811.0,3716.0,0.545588019380414,8317.0,17465.7
S 3 St & Bedford Ave,5235.05,40.71260486,-73.96264403,29430,23656,5774,3583.0,1096.0,0.30588891989952555,5199.0,10917.9
W 20 St & 8 Ave,6224.05,40.743453349999996,-74.00004031,29391,25833,3558,4767.0,2700.0,0.5663939584644431,7377.0,15491.7
E 27 St & 1 Ave,6004.06,40.739445,-73.976806,29386,27003,2383,6109.0,-3600.0,-0.5892944835488624,10513.0,22077.3
Broadway & W 53 St,6779.05,40.763440579999994,-73.98268129,29318,24958,4360,5388.0,-4375.0,-0.8119896065330364,8339.0,17511.9
W 20 St & 5 Ave,6098.02,40.73972989238724,-73.99103969335556,29276,25585,3691,2166.0,-3023.0,-1.3956602031394276,7032.0,14767.2
E 40 St & Park Ave,6432.11,40.750756,-73.978326,29239,25790,3449,3243.0,-7057.0,-2.1760715386987357,11527.0,24206.7
W 64 St & Thelonious Monk Circle,7123.04,40.77515953434235,-73.98918695747852,29143,25637,3506,6278.0,2672.0,0.4256132526282255,7251.0,15227.1
6 Ave & W 45 St,6593.15,40.756951,-73.982631,29072,23625,5447,1636.0,-5362.0,-3.2775061124694376,9480.0,19908.0
E 23 St & 1 Ave,5929.01,40.73650200000001,-73.97809472,29071,26272,2799,6181.0,1042.0,0.16858113573855363,5495.0,11539.5
E 2 St & Ave C,5476.03,40.7208736,-73.98085795,28946,25617,3329,5816.0,3977.0,0.6838033012379643,9447.0,19838.7
W 13 St & 5 Ave,5947.04,40.735445,-73.99431,28936,25035,3901,3208.0,-1454.0,-0.4532418952618454,5881.0,12350.1
E 16 St & 5 Ave,6022.04,40.73726186,-73.99238967,28901,25488,3413,2401.0,-3786.0,-1.5768429820907954,7163.0,15042.300000000001
E 22 St & 2 Ave,5971.09,40.73716919369882,-73.98122549057007,28811,25840,2971,4767.0,1774.0,0.3721418082651563,6335.0,13303.5
Broadway & W 38 St,6560.15,40.7529728216068,-73.98734897375107,28803,24468,4335,3442.0,-4126.0,-1.1987216734456712,8086.0,16980.600000000002
Spring St & Hudson St,5653.12,40.72583996792375,-74.0076532959938,28758,23766,4992,2952.0,-3356.0,-1.1368563685636857,7239.0,15201.900000000001
E 2 St & Ave A,5553.10,40.72307749068673,-73.98583620786667,28542,24755,3787,5001.0,3039.0,0.6076784643071386,8052.0,16909.2
Broadway & W 41 St,6560.01,40.75513557,-73.98658032,28531,24406,4125,5269.0,-3002.0,-0.5697475801859936,7339.0,15411.900000000001
University Pl & E 8 St,5755.14,40.73143724085228,-73.99490341544151,28471,24473,3998,2701.0,-1119.0,-0.41429100333209923,6139.0,12891.9
Columbus Ave & W 59 St,6986.07,40.76931,-73.98464,28131,24843,3288,4435.0,854.0,0.19255918827508456,5747.0,12068.7
Thompson St & Bleecker St,5721.07,40.72840059450829,-73.99968780577183,28062,23094,4968,3532.0,457.0,0.1293884484711212,5917.0,12425.7
6 Ave & Broome St,5610.09,40.72431,-74.00473,27902,24180,3722,2520.0,-2796.0,-1.1095238095238096,6637.0,13937.7
E 25 St & 2 Ave,6046.02,40.73912601,-73.97973776,27874,24858,3016,5128.0,1823.0,0.35549921996879874,6462.0,13570.2
